name,description,category,price
GlobalNiche® 4 Buttons Silicone Remote Key Case 4 Colors Universal Car Key Cover for TOYOTA Corolla Camry 2012-2018 Color Name Pink,GlobalNiche 4 Buttons Silicone Remote Key Case 4 Colors Universal Car Key Cover for TOYOTA Corolla Camry 2012-2018 Color Name Pink,10350,37830
"BCBGMAXAZRIA Women's Alpine Faux Suede Knit Pencil Skirt, Blue Depths, S","Color/pattern: blue depths. Approximately 26in from waist to hem. Measurement was taken from a size small and may vary slightly by size. Design details: faux suede design, elasticized waistband. 89% polyester, 11% spandex. Machine wash. Imported",3047,7991
"The Design Cart Blue Square (10*10) 2 Hole Acrylic Stones for Artificial Jewelry Art Making,Designer Dress Material, Bangles Making,Size-10 mm * 10 mm,Pack of 100 Gross / 14400 Pieces","These acrylic stones can easily be sewed on fabric, bags and shoes to create intricate designs. Acrylic is a versatile material that is used to create unique designs. It is a durable material that has high resistance and does not develop cracks. They are faceted and reflect a huge amount of light. They are used in embroideries and on high fashion garments. Acrylic stones are available in various shapes and sizes. They are made up of premium quality materials and are affordable. Acrylic stones can also be used on jewelry pieces and can be glued over various accessories like handbags and footwear.",11209,21842
GlobalNiche® 1Pc Sealing Cover Stacked Freezer Fresh Lid Crisper Microwave Oven Oil Cap Lids Refrigerator Lid Sealing Cover Plate EJ871800,GlobalNiche 1Pc Sealing Cover Stacked Freezer Fresh Lid Crisper Microwave Oven Oil Cap Lids Refrigerator Lid Sealing Cover Plate EJ871800,1283,3230
Eyeglasses Montblanc MB 0067 O- 004 / Black,"Mont Blanc MB0067O prescription-ready eyeglasses includes the Mont Blanc logo on the temple. This Mont Blanc MB0067O metal full rim rectangular shape eyeglasses made for men. Masculine rectangular squared shape characterized by rubber co-injected temples enriched with the iconic Extreme pattern inspired by Montblanc’s eponymous leather goods. The frame’s sporty touch is emphasized by the sharpness of the endpiece and a more pronounced anti-slipping exploded snow cap pattern in the internal part of the end tip. Real snow cap on the temple, surrounded and embellished by a metal ring.",2798,13334
REDHORNS Stylish Genuine Leather Wallet for Men Lightweight Bi-Fold Slim Wallet with Card Holder Slots Purse for Men (ARD351R6_Tan),"REDHORNS Men's wallet is neatly designed and made with soft and firm genuine leather and twill fabric on the inside. You will feel the softness on your hand and it will never be a hard leather product. Made of exclusive high-quality soft leather. This Formal Vintage Leather Wallet Comes with 1 Main Compartments, 2 ATM Card Slots, 1 Coin Pocket with Snap Closure. The multiple compartments keep everything organized and secure while looking stylish and elegant. This stylish bi-fold leather wallet comes with a premium gift-packed box which can be offered as a perfect gift for Valentine's Day, Birthdays, Anniversaries, Christmas, Father's Day, Groomsmen, and any other special occasions. This Bi-fold leather men's slim wallet has a snap button closure to keep your important card and currency very secure.",3465,45897
Elegant Royal Carpet Black and Red Custom Fit 7D Car Mats Compatible with Hyundai I10,"Designed for elegance and made with precision, Elegant 7D mats will give your car interiors a bold luxurious look! These mats give unparalleled protection for your car floor carpet. They have two layers of mats - The designer base mat, made of PVC has the high reinforced edges with exclusive diamond quilt. It comes with easy clean coating that makes it easy to clean. Anti skid backing is also provided that does not let the mat slip or slide while driving. In this base mat, a unique grass mat is placed that traps all the dirt. It has a grass-like finish and is very durable. It is attached to the base mat with the help of clips and can be easily removed for cleaning. This mat is 100% waterproof and is made in so that it does not get stuck in the accelerator or the break so you have a stress free drive each time!",7488,34656
Bridion Hard Plastic 3D Printed for Realme C12 Designer Flower Multi Colour for Girls & Boyss Printed Back Cover for Realme C12,"Give a new style to your phone with this designer cover from the house of Bridion Mobile Accessories. This cover has been designed to be used onRealme C12 1 smartphone. Made from plastic, this solid back cover has a sturdy and attractive design in multy color.",12064,8319
UbrosNetwork Vivo Y20A Leather Flip Cover | Shockproof | 360 Protection | Wallet Style Magnetic Closure Back Cover Case for Vivo Y20A (Black),"<p><b>DESCRIPTION:</b><br><br>UbrosNetwork Cases &amp; Covers fall into some of the most sought-after phone cases &amp; covers in the market. These covers are manufactured with the use of Top-Grade material &amp; technology resulting in products with impeccable finishing &amp; quality.<br><br><b>Classic Business Styling</b><br> This Cover is Designed in a Timeless Classic Business Style matching the Personality of both Men and Women Perfectly. <br><br><b> Top Quality Material </b><br> This Case is Made with Premium High Quality PU Leather Material to ensure Excellent Finish and Long Life. <br><br><b>Camera &amp; Screen Protection</b><br> Smartly Designed Case has Camera Bump and Front Flap to keep the Camera &amp; Screen from Scratching or Touching the Surface. <br><br><b>Hands-Free Optimized</b><br> It can be folded like a stand which allows you to have your hands free while watching videos, reading news etc. <br><br><b>Built-In Pockets</b><br> Built-in card slots and money pouch keep all of your daily essentials perfectly organized. <br><br><b>Magnetic Closure</b><br>The case can be easily and securely closed and snapped in place, thanks to the strong magnetic clasp to keep your important items safe and secure in one place.<br><br><b>Complete 360 Protection</b><br>For complete peace of mind, this flip cover provides Excellent Shock-Absorption &amp; Complete 360 Degree Protection from all 6 Sides. <br><b><br> Great Grip</b><br> Provides an excellent grip due to which your phone would feel fully secure in your hand.<br><br><b>Compatibility: Specially designed for Vivo Y20A only</b><br><br>UbrosNetwork Disclaimer: The picture/s used are for illustration purpose only. Actual product may vary slightly as per the respective phone model &amp; design. Phone shown in the picture is not part of the sale offer.</p>",12057,20025
Pikkme Samsung Galaxy J5 Prime Back Cover Case | Designer Printed Hard Cases & Covers for Samsung Galaxy J5 Prime for Girls/Women (Cute Leaves White),"Pikkme Samsung Galaxy J5 Prime Back cover is best hard matte designer case you will ever get. The designs we provide for your phone are just awesome and out of the box that will make your phone say something. Samsung Galaxy J5 Prime covers & cases made by pikkme uses high quality poly-carbonate material which provide it sturdy grip and matte finish and the best part is that we use Korean-ink technology sublimation printing technique to print these cases which the print quality superior , premium and we take guarantee that it will never fades away. These cases and back cover for Samsung Galaxy J5 Prime are best suited as a gift to your loved ones.",12064,22851
"NATVVA 3 Pieces Cabin, Reindeer and Snowy Forest Trees Wall Art Prints Winter Wonderland Posters Canvas Painting Artwork for Living Room Bedroom Decor with Inner Frame","<b> Does every room in your home seem to be furnished the same way?Are you looking for a special art to decorate your space?</b><br> <p>NATVVA is a manufacturer of canvas printing, inkjet prints, and personalized photo custom prints with rich experience in this field.</P> <p>You can enliven with an array of vibrant colours or muted hues from NATVVA that complement your lifestyle or the mood you wish to create. Unique design and deep colors give your rooms an extraordinary character.</P> <b> Wall Decor: </b><br> <p>➢Perfect choice for wall decor such as living room, bedroom, guest room, bathroom, dinning room, meeting room, hallway, nurseries, coffee house, condo house, hotels, inn, Spa, Lounge, Sauna and other spaces of home, office, business, reflection and relaxation.</P> <b>Perfect Gift Idea: </b><br> <p>➢ For wedding, anniversary, thanksgiving, christmas, mother's Day, father's Day, valentine, birthday and others.</P>",6548,38713
"OSCARBIDE 18mm Carbide Inserts Cutters for Woodturning Round Cutter Replacement (Dia-18mm X 3mm-Thickness-30 Cutting angle) for Hollowers Finishers Wood Lathe Turning Tools, Pack of 10","<p>Description:</p> <p><b>Brand:</b>&nbsp;OSCARBIDE</p> <p><b>Material:</b>&nbsp;Solid&nbsp;tungsten Carbide&nbsp;</p> <p><b>Shape:</b>&nbsp;Round&nbsp;&nbsp;</p> <p><b>Diameter:&nbsp;</b>18mm</p> <p><b>Thickness:</b> 3.0mm &nbsp;</p> <p><b>Angle:</b> 30 degree</p> <p><b>Hole:&nbsp;</b>one countersink hole</p> <p><b>Priced per pack.</b> Sold in boxes of 10.</p> <p><b>More Features:</b></p> <p>1.&nbsp;Ideal for giving you a smooth finish on curved, concave surfaces,hollowing jobs and for general turning applications</p> <p>2.&nbsp;Cutter rotates give you numerous fresh edges without sharpening</p> <p>3.&nbsp;Compared with steel the solid carbide stays sharp for longer</p> <p><b>We can also provide you other high quality carbide inserts</b></p> <p><b>Round Insert: 8.9mm,11mm,12mm,15mm,16mm,18mm</b></p> <p><b>Square Insert: 10.5mm,11mm,14mm,15mm</b></p> <p><b>Diamond Shape Insert: 10mm x28mm</b></p> <p><b>With different thickness, cutting angle, radius,sharp,can meet you various need for good experience in woodworking or woodturing,If you need other products&nbsp;please search OSCARBIDE on Amazon . Thanks for your interest in our products. Any query, please feel free to contact us.</b></p>",9726,9466
"Veer ji Collection Men's Ankle Length Rubber, Cotton Socks Multi colour (Set of 6)",Made with soft & ultra-breathable Combed Cotton,2861,31000
Khadims Men Black Slip-On Shoe - UK 9,"Khadim’s combines comfort and durability with modern elegance. Ideal for everyday wear in a variety of situations in and around home or office, a pair of Khadim’s on your feet gives you that extra confidence to take you through a gruelling day with great ease. Supremely cost-effective and of durable quality, Khadim’s gives you an unmatched value-for-money experience. :: Key Features / Upper Material: Synthetic / Sole Material: Airmax / Occasion: Formal / Utility: Office Formals / Closure: Slip-on / Toe Style: Closed / Shoe Style: Slip-On / Shoe Type: Shoe / Care Instructions: 1. Use a soft shoe brush to remove dust/loose dirt. 2. Remove stains using stain removers. 3. Do not wash with detergent or in washing machine. 4. Allow your pair of shoes to air and de-odorize at regular basis. 5. Use shoe bag to prevent any stains or mildew",3246,46664
2022 Boston Calendar: Baseball Schedule Included!,"Show your city, state and baseball pride with this unique 12 month Boston calendar including holiday themed photos. Baseball schedule included! Made for the Red Sock fan!",5096,41746
"Vibedration Fanny Pack | Fashion Waist Packs for Travel, Festivals, Raves | Everyday Belt Bag for Women, Men, Kids (Plaid Out)","Vibedration’s stylish waist bag is lightweight and functional, designed to keep you looking fashionable at music festivals, raves, tailgates, hikes, adventures and more! Need to travel light and look awesome while doing it? Made for guys and girls alike, our boho fanny pack is the perfect accessory for you! The supreme fanny pack on the market, featuring two large zipper pockets for organizing your gear, Vibedration’s cool fanny packs come complete with an adjustable webbed belt and buckle closure for a comfortable fit. Hold all the essentials that you need to keep you going all day (or night) long in one place! Don’t want to put your phone or wallet in your pocket? No problem! Keep it securely fastened around your waist with this high-performance fanny pack. With a back pocket designed to conceal valuables, Vibedration’s sling packs keep your stuff secure! The best fanny pack on the market, Vibedration waist packs are great everyday accessories and perfect for festivals, hiking or outdoor activities. #LifesAPartyStayHydrated",3417,45935
APHISON Wallets for Women Card Holder Zipper Purse Phone Clutch Wallet Painting Wristlet with Wrist Strap/Gift Box,APHISON Wallets for Women RFID Blocking Zipper Purse Card Case Wallet Phone Clutch Cartoon Style Wallet With Wristlet for Ladies/Girls Gift Box 684-1346,3466,27419
"BERN - Heist Snow Helmet, MIPS Matte Slate Green, Small","We married two technologies to make the ultimate head protection love-child. The innovative Dual Shell Integration (DSI) construction combines the lightweight properties of our Zipmold+ and PVC lower shell, with the durability of an ABS top shell. Designed with safety features like EAR (Energy Absorbing Ribs) for greater impact dispersion and Aluminum Shields for added durability. Not your typical hybrid species, the Heist is in a class of its own.",4662,36489
